Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
125,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,4,75,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,9,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,9,75,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,18,60,19,11,3000,0.46924546114659166,1739.328991211005,7
125,True,18,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,4,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,9,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,9,75,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,18,60,19,11,3000,0.46924546114659166,1739.328991211005,7
150,True,18,75,19,11,3000,0.46924546114659166,1739.328991211005,7
100,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
100,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
100,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
100,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
100,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
100,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
125,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
125,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
125,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
125,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
125,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
125,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
150,False,4,60,19,7,55,0.6785168111211278,1113.7106884575296,8
150,False,4,75,19,7,55,0.6785168111211278,1113.7106884575296,8
150,False,9,60,19,7,55,0.6785168111211278,1111.7560062671746,8
150,False,9,75,19,7,55,0.6785168111211278,1111.7560062671746,8
150,False,18,60,19,7,55,0.6785168111211278,1107.8209057491028,8
150,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
100,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
100,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
100,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
100,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
100,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
100,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
125,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
125,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
125,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
125,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
125,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
125,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
150,False,4,60,19,2,350,0.8161180699201307,525.7662034756067,9
150,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
